method,endpoint,status,result
DELETE,https://jsonplaceholder.typicode.com/todos,200,PASS
DELETE,https://jsonplaceholder.typicode.com/todos,200,FALID
DELETE,https://jsonplaceholder.typicode.com/todos,200,PASS
DELETE,https://jsonplaceholder.typicode.com/todos,200,FALID
GET,https://jsonplaceholder.typicode.com/todos,200,PASS
GET,https://jsonplaceholder.typicode.com/todos,200,PASS
GET,https://jsonplaceholder.typicode.com/todos,200,PASS
GET,https://jsonplaceholder.typicode.com/todos,200,PASS
GET,https://jsonplaceholder.typicode.com/todos,200,FALID
GET,https://jsonplaceholder.typicode.com/todos/23,200,PASS
PATCH,https://jsonplaceholder.typicode.com/todos/1,200,PASS
POST,https://jsonplaceholder.typicode.com/todos,201,PASS
POST,https://jsonplaceholder.typicode.com/todos,201,PASS
POST,https://jsonplaceholder.typicode.com/todos,201,PASS
POST,https://jsonplaceholder.typicode.com/todos,201,FALID
POST,https://jsonplaceholder.typicode.com/todos,201,PASS
PUT,https://jsonplaceholder.typicode.com/todos,200,FALID
PUT,https://jsonplaceholder.typicode.com/todos,200,PASS
PUT,https://jsonplaceholder.typicode.com/todos,200,PASS
PUT,https://jsonplaceholder.typicode.com/todos,200,FALID
PUT,https://jsonplaceholder.typicode.com/todos,200,PASS
